도서관명,주소,전화번호,팩스번호,위도,경도,홈페이지,휴관일,도서관코드,운영시간,도서수
경상북도립안동도서관,경상북도 안동시 안기천로 48,054-840-8414,054-854-5149,36.5619307,128.717245,http://www.gbelib.kr/ad/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일, 기타 사유로 휴관이 불가피한 경우",147010,08:00~22:00,322467
고덕평생학습관,서울특별시 강동구 고덕로 295,02-6902-2600,02-6902-2680,37.5561464,127.157984,http://gdllc.sen.go.kr/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 평생학습관 사정으로 인한 임시휴관일",111007,"07:00~23:00(3월~10월),08:00~23:00(11월~2월)",302233
고리울꿈터작은도서관,경기도 부천시 고강로72번길 8,032-625-4744,-,37.52938,126.81199,http://bcsl.go.kr/,"매주 토요일, 일요일 / 법정공휴일",141183,-,21496
고북작은도서관,충청남도 서산시 고북면 고북1로 294,070-8668-0880,-,36.667254,126.533492,http://www.seosan.go.kr/citylib/index.do,"매주 월요일, 일요일 / 국경일, 임시공휴일",144111,-,19498
고성교육도서관,강원도 고성군 거진읍 거탄진로29번길 7,033-682-4886,033-682-5204,38.4392611,128.4500889,http://lib.gwe.go.kr/gosung/,"매주 월요일 / 법정공휴일(단, 일요일은 개관하되 다른 공휴일이 일요일과 겹칠때는 휴관), 장서점검, 시설보수 등 도서관장이 필요하다고 인정하는 날",142003,09:00 ~ 19:00(토/일 18:00),108490
고성도서관,경상남도 고성군 고성읍 동외로195번길 6,055-673-8461,055-673-8464,34.9793302,128.326371,http://gslib.gne.go.kr/,매주 월요일 / 법정공휴일,148003,자료실 9:00-18:00 / 열람실 8:00-22:00,120926
고양시립대화도서관,경기도 고양시 일산서구 일산로 689,031-8075-9130,031-911-4276,37.6809678,126.753923,http://www.goyanglib.or.kr/dae/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141139,"열람실 07:00~23:00 / 자료실 월~금 09:00~22:00, 토일 09:00~18:00",156741
고양시립덕이도서관,경기도 고양시 일산서구 하이파크로 128,031-8075-9320,031-911-2936,37.7029746,126.754531,http://www.goyanglib.or.kr/duk/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141398,"07:00~23:00(3월~10월), 08:00~23:00(동절기)",67621
고양시립마두도서관,경기도 고양시 일산동구 일산로 355,031-8075-9067,031-901-5894,37.6666321,126.782025,http://www.goyanglib.or.kr/madu/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141055,"동절기 08:00~23:00, 하절기 07:00~23:00",219272
고양시립백석도서관,경기도 고양시 일산동구 일산로 118,031-8075-9090,031-901-4621,37.6472487,126.793775,http://www.goyanglib.or.kr/baek/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141073,"07:00 ~ 23:00(3월~10월), 08:00 ~ 23:00(11월~2월)",179646
고양시립삼송도서관,경기도 고양시 덕양구 덕수천1로 73,031-8075-9360,02-381-4590,37.6488432,126.884639,http://www.goyanglib.or.kr/sam/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141555,-,38961
고양시립식사도서관,경기도 고양시 일산동구 위시티2로 43-6,031-8075-9190,031-965-5297,37.6760845,126.815918,http://www.goyanglib.or.kr/sik/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141388,"어린이자료실/연속간행물실: 09:00~18:00, 종합자료실/디지털자료실: 평일09:00~22:00 토·일요일09:00~18:00, 열람실-(하절기:3월~10월)07:00~23:00 (동절기:11월~2월)08:00~23:00",71702
고양시립신원도서관,경기도 고양시 덕양구 신원2로 24,031-8075-9340,02-371-1380,37.6663747,126.886347,http://www.goyanglib.or.kr/sin/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141546,-,53168
고양시립아람누리도서관,경기도 고양시 일산동구 중앙로 1286,031-8075-9038,031-901-0294,37.6615541,126.7745,http://www.goyanglib.or.kr/aram/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141123,평일 ( 09:00 ~ 22:00 ) / 주말 ( 09:00 ~ 18:00 ),207423
고양시립원당도서관,경기도 고양시 덕양구 호국로790번길 49-9,031-8075-9260,031-965-9709,37.6562321,126.838837,http://www.goyanglib.or.kr/won/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141059,-,149935
고양시립주엽어린이도서관,경기도 고양시 일산서구 주엽로 104,031-8075-9170,031-911-3218,37.6684857,126.756534,http://www.goyanglib.or.kr/juc/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141124,9:00~18:00,143740
고양시립풍동도서관,경기도 고양시 일산동구 숲속마을로 108,031-8075-9148,031-901-8317,37.6705562,126.795196,http://www.goyanglib.or.kr/pung/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141150,평일 오전 09:00~22:00 / 주말 09:00~18:00,113681
고양시립한뫼도서관,경기도 고양시 일산서구 탄중로 284,031-8075-9115,031-975-1952,37.6935842,126.776286,http://www.goyanglib.or.kr/han/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141140,"열람실 : 07:00(동절기 08:00), 자료실 : 09:00",156717
고양시립행신도서관,경기도 고양시 덕양구 행당로33번길 25-6,031-8075-9239,031-938-4673,37.6207524,126.828326,http://www.goyanglib.or.kr/hang/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141018,07:00~23:00,185374
고양시립행신어린이도서관,경기도 고양시 덕양구 소원로181번길 42,031-8075-9278,031-938-2395,37.6147771,126.843475,http://www.goyanglib.or.kr/hangc/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141126,09:00~18:00,119428
고양시립화정도서관,경기도 고양시 덕양구 은빛로77번길 8,031-8075-9215,031-965-5093,37.637831,126.837192,http://www.goyanglib.or.kr/hwa/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141072,"열람실 07:00~23:00 / 자료실 월~금 09:00~22:00, 토일 09:00~18:00",235152
고양시립화정어린이도서관,경기도 고양시 덕양구 화신로 323,031-8075-9299,031-938-2394,37.6328887,126.826242,http://www.goyanglib.or.kr/hwac/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹친 경우 휴관)",141125,09:00 ~ 18:00,118028
고척도서관,서울특별시 구로구 고척로45길 31,02-2615-0524,02-2682-4176,37.5053516,126.853254,http://gclib.sen.go.kr/,"매월 둘째주, 넷째주 수요일 / 일요일을 제외한 법정공휴일, 기타 도서관장이 정하는 임시휴관일",111008,"평일 : 09:00~22:00, 주말 : 09:00~17:00  (장시간 개관 자료실 기준)",282343
과천교육도서관,경기도 과천시 도서관길 36,02-3677-0371,02-504-7532,37.432262,126.9965747,http://www.kwalib.kr/,"매주 월요일 / 일요일을 제외한 관공서의 공휴일, 필요에 따라 관장이 지정한 날",141004,06:00~22:00,691779
관악문화관도서관,서울특별시 관악구 신림로3길 35,02-828-5700,02-828-5810,37.4671252,126.9448168,http://www.gwanakcullib.seoul.kr/ecolas-dl/new_kwan/library/,"매주 화요일 / 국가공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관), 도서관 사정으로 휴관하는 날",111045,"7시~23시(평일), 7시~22시(주말)",249614
광교푸른숲도서관,경기 수원시 영통구 광교호수로 131,031-228-3537,031-228-3792,37.2753925,127.0674623,https://www.suwonlib.go.kr/gps/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 국가지정 공휴일",141595,-,27829
광명시광명도서관,경기도 광명시 원광명안로 48,02-2680-6541,02-2680-6531,37.4653018,126.8513075,https://gmlib.gm.go.kr/JoongangMain.do,"매주 금요일 / 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",141080,-,429729
광명시소하도서관,경기도 광명시 소하일로 7,02-2680-0900,02-2680-0919,37.4454883,126.8880089,https://gmlib.gm.go.kr/SohaMain.do,"매주 월요일 / 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",141561,"자료실 화~금 9:00~22:00, 토일 9:00~17:00",129322
광명시철산도서관,경기도 광명시 철산로 56,02-2680-6820,02-2680-6826,37.4769575,126.8723412,https://gmlib.gm.go.kr/CheolsanMain.do,"매주 월요일 / 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",141405,-,195011
광명시충현도서관,경기도 광명시 충현로42번길 19,02-2680-6111,02-2680-6113,37.4340114,126.8847294,https://gmlib.gm.go.kr/ChunghyunMain.do,"매주 금요일 / 법정공휴일, 도서관 사정으로 임시로 정하는 휴일",141155,-,120222
광명시하안도서관,경기도 광명시 철망산로 46,02-2680-2871,02-2680-2877,37.4676204,126.8735159,https://gmlib.gm.go.kr/HaanMain.do,"매주 금요일 / 법정공휴일(공휴일과 일요일이 겹칠 경우 휴관), 도서관 사정으로 임시로 정하는 휴일",141019,07:00~23:00,509698
광주 서구 공공도서관,광주광역시 서구 마재로 3,062-654-4306,062-654-4310,35.1308667,126.8603824,http://lib.seogu.gwangju.kr/,"매월 첫째주, 셋째주 월요일 / 일요일을 제외한 법정공휴일",124009,"평일09:00~18:00, 토일 09:00~17:00",74139
광주 서구 상록도서관,광주광역시 서구 상무대로1171번길 11,062-350-4580,062-351-6200,35.1551865,126.8889039,http://lib.seogu.gwangju.kr/,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일",129222,자료실 : 월~금 9:00~18:00/토~일 9:00~17:00,49701
광주 서구 어린이생태학습도서관,광주광역시 서구 풍암공원로 8,062-350-4584,062-652-9247,35.1297987,126.8818583,http://lib.seogu.gwangju.kr/,매주 월요일 / 일요일을 제외한 법정공휴일,129004,09:00~18:00,69397
광주광역시립무등도서관,광주광역시 북구 면앙로 130,062-613-7753,062-613-7709,35.176593,126.925288,http://www.citylib.gwangju.kr/main/library_02.php,"매월 둘째주, 넷째주 월요일 / 관공서 공휴일, 도서관 사정으로 관장이 지정한 날",124003,자료실 09:00 - 22:00(주말 17:00) /기타자료실 09:00 - 18:00(주말 17:00),512416
광주광역시립사직도서관,광주광역시 남구 제중로 56,062-613-7783,062-613-7769,35.139482,126.913963,http://www.citylib.gwangju.kr/main/library_03.php,"매월 첫째주, 셋째주 월요일 / 관공서 공휴일, 도서관 사정으로 관장이 지정한 날",124004,자료실 09:00 - 22:00(주말 17:00) /기타자료실 09:00 - 18:00(주말 17:00)/열람실 07:00 - 22:00,318567
광주광역시립산수도서관,광주광역시 동구 경양로 355,062-613-7831,062-613-7809,35.1544146,126.928436,http://www.citylib.gwangju.kr/main/library_04.php,"매월 첫째주, 셋째주 월요일 / 관공서 공휴일, 도서관 사정으로 관장이 지정한 날",124008,"자료실(평일 : 09:00~22:00, 주말 09:00~17:00) 기타자료실(평일 : 09:00~18:00,주말 : 09:00~17:00)",239972
광주남구문화정보도서관,광주광역시 남구 봉선로 208,062-607-2524,062-654-8962,35.1220332,126.9175553,http://lib.namgu.gwangju.kr/,"매월 둘째주, 넷째주 월요일 / 관공서 공휴일(공휴일이 토요일, 일요일과 겹칠 경우 휴관), 도서관 사정으로 관장이 지정한 날",124012,"자료실(평일) : 09:00~18:00, 자료실(주말) : 09:00~17:00, 열람실(동절기) : 08:00~22:00, 열람실(하절기) : 07:00~22:00",114064
광주남구푸른길도서관,광주광역시 남구 금당로 140,062-607-2531,062-651-7640,35.1292558,126.8951485,http://lib.namgu.gwangju.kr/,"매주 월요일 / 관공서 공휴일(공휴일이 토요일, 일요일과 겹칠 경우 휴관), 도서관 사정으로 관장이 지정한 날",129219,평일 : 오전9시~오후6시 / 주말 : 오전9시~오후5시,63148
광주북구운암도서관,광주광역시 북구 북문대로 118,062-410-6957,062-510-1587,35.1801822,126.8753206,http://ilgoklib.bukgu.gwangju.kr/main/main_u.php,"매월 둘째주, 넷째주 월요일 / 법정공휴일, 기타 도서관 필요에 의해 정하는 날",129131,"종합자료실,어린이실-9:00~18:00(토,일요일-17:00)/학습실-08:00~22:00",83909
광주북구일곡도서관,광주광역시 북구 일곡로 55,062-410-6889,062-410-8294,35.2087616,126.895006,http://ilgoklib.bukgu.gwangju.kr/main/main_a.php,"매월 첫째주, 셋째주 월요일 / 법정공휴일, 기타 도서관 필요에 의해 정하는 날",124010,"자료실 평일09:00~ 18:00, 주말 09:00~17:00, 열람실 07:00~22:00",177441
광진정보도서관,서울특별시 광진구 아차산로78길 90,02-3437-5092,02-3437-0165,37.5506122,127.108206,http://www.gwangjinlib.seoul.kr/,"매월 둘째주, 넷째주 화요일 / 국경일, 일요일을 제외한 국가지정공휴일, 임시공휴일(단, 일요일과 겹치는 경우 휴관), 장서 점검 및 관장이 필요하다고 인정하는 날",111036,"평일/ 자료실 09:00~22:00 (어린이실,멀티미디어실 18:00시), 열람실 09:00~23:00 , 주말/ 자료실 09:00~17:00, 열람실 09:00~22:00",540833
괴산도서관,충청북도 괴산군 괴산읍 읍내로12길 38,043-833-0319,043-833-3221,36.8109221,127.7920861,http://www.gsl.go.kr/,"매월 첫째주, 셋째주 월요일 / 공휴일(공휴일이 일요일과 중복될 경우 휴관)",143001,"자료실 09:00-18:00, 열람실 08:00-22:00(동절기 08:00-21:00)",109336
구갈희망누리도서관,경기도 용인시 기흥구 갈곡로12번길 1,031-324-6561,-,37.2726108,127.13032,http://lib.yongin.go.kr/gugal/,"매주 일요일 / 명절(신정, 설연휴, 추석연휴), 법정공휴일, 도서관의 특별한 사정으로 인한 휴관",141129,-,69889
구로도서관,서울특별시 구로구 공원로 15,02-6958-2800,02-6958-2888,37.4985419,126.891674,http://grlib.sen.go.kr/,"매월 첫째주, 셋째주 수요일 / 일요일을 제외한 법정공휴일, 휴관이 필요하다고 인정하는 날",111009,07(08):00-23(23):00,186787
